pathway,gene
N00246,ENSG00000174775
N00246,ENSG00000133703
N00246,ENSG00000213281
N00246,ENSG00000078061
N00246,ENSG00000157764
N00246,ENSG00000132155
N00246,ENSG00000169032
N00246,ENSG00000126934
N00246,ENSG00000100030
N00246,ENSG00000102882
N00247,ENSG00000019991
N00247,ENSG00000105976
N00247,ENSG00000109458
N00247,ENSG00000121879
N00247,ENSG00000051382
N00247,ENSG00000171608
N00247,ENSG00000142208
N00247,ENSG00000105221
N00247,ENSG00000117020
N00247,ENSG00000002330
N00248,ENSG00000105976
N00248,ENSG00000177885
N00248,ENSG00000115904
N00248,ENSG00000100485
N00248,ENSG00000174775
N00248,ENSG00000133703
N00248,ENSG00000213281
N00248,ENSG00000078061
N00248,ENSG00000157764
N00248,ENSG00000132155
N00248,ENSG00000169032
N00248,ENSG00000126934
N00248,ENSG00000100030
N00248,ENSG00000102882
N00249,ENSG00000105976
N00249,ENSG00000109458
N00249,ENSG00000121879
N00249,ENSG00000051382
N00249,ENSG00000171608
N00249,ENSG00000142208
N00249,ENSG00000105221
N00249,ENSG00000117020
N00249,ENSG00000002330
N00250,ENSG00000165556
N00250,ENSG00000198788
N00250,ENSG00000079112
N00250,ENSG00000134193
N00250,ENSG00000085563
N00251,ENSG00000165556
N00251,ENSG00000164690
N00252,ENSG00000138798
N00252,ENSG00000141736
N00252,ENSG00000146648
N00252,ENSG00000177885
N00252,ENSG00000115904
N00252,ENSG00000100485
N00252,ENSG00000174775
N00252,ENSG00000133703
N00252,ENSG00000213281
N00252,ENSG00000078061
N00252,ENSG00000157764
N00252,ENSG00000132155
N00252,ENSG00000169032
N00252,ENSG00000126934
N00252,ENSG00000100030
N00252,ENSG00000102882
N00253,ENSG00000138798
N00253,ENSG00000141736
N00253,ENSG00000146648
N00253,ENSG00000121879
N00253,ENSG00000051382
N00253,ENSG00000171608
N00253,ENSG00000142208
N00253,ENSG00000105221
N00253,ENSG00000117020
N00253,ENSG00000198793
N00253,ENSG00000108443
N00253,ENSG00000175634
N00254,ENSG00000111276
N00254,ENSG00000105173
N00254,ENSG00000175305
N00254,ENSG00000123374
N00254,ENSG00000139687
N00254,ENSG00000101412
N00254,ENSG00000007968
N00254,ENSG00000112242
N00255,ENSG00000105173
N00255,ENSG00000123374
N00255,ENSG00000139687
N00255,ENSG00000101412
N00255,ENSG00000007968
N00255,ENSG00000112242
N00256,ENSG00000163513
N00256,ENSG00000106799
N00256,ENSG00000175387
N00256,ENSG00000166949
N00257,ENSG00000039068
N00257,ENSG00000168036
N00257,ENSG00000081059
N00257,ENSG00000152284
N00257,ENSG00000148737
N00257,ENSG00000138795
N00257,ENSG00000136997
N00257,ENSG00000110092
N00258,ENSG00000039068
N00258,ENSG00000168036
N00258,ENSG00000081059
N00258,ENSG00000152284
N00258,ENSG00000148737
N00258,ENSG00000138795
N00258,ENSG00000136997
N00258,ENSG00000110092
N00259,ENSG00000105976
N00259,ENSG00000177885
N00259,ENSG00000115904
N00259,ENSG00000100485
N00259,ENSG00000174775
N00259,ENSG00000133703
N00259,ENSG00000213281
N00259,ENSG00000078061
N00259,ENSG00000157764
N00259,ENSG00000132155
N00259,ENSG00000169032
N00259,ENSG00000126934
N00259,ENSG00000100030
N00259,ENSG00000102882
N00260,ENSG00000105976
N00260,ENSG00000109458
N00260,ENSG00000121879
N00260,ENSG00000051382
N00260,ENSG00000171608
N00260,ENSG00000142208
N00260,ENSG00000105221
N00260,ENSG00000117020
N00260,ENSG00000198793
N00016,ENSG00000197461
N00016,ENSG00000100311
N00016,ENSG00000134853
N00016,ENSG00000113721
N00016,ENSG00000177885
N00016,ENSG00000115904
N00016,ENSG00000100485
N00016,ENSG00000174775
N00016,ENSG00000133703
N00016,ENSG00000213281
N00016,ENSG00000078061
N00016,ENSG00000157764
N00016,ENSG00000132155
N00016,ENSG00000169032
N00016,ENSG00000126934
N00016,ENSG00000100030
N00016,ENSG00000102882
N00018,ENSG00000134853
N00018,ENSG00000177885
N00018,ENSG00000115904
N00018,ENSG00000100485
N00018,ENSG00000174775
N00018,ENSG00000133703
N00018,ENSG00000213281
N00018,ENSG00000078061
N00018,ENSG00000157764
N00018,ENSG00000132155
N00018,ENSG00000169032
N00018,ENSG00000126934
N00018,ENSG00000100030
N00018,ENSG00000102882
N00027,ENSG00000146648
N00027,ENSG00000124181
N00027,ENSG00000197943
N00027,ENSG00000198668
N00027,ENSG00000143933
N00027,ENSG00000160014
N00027,ENSG00000134072
N00027,ENSG00000183049
N00027,ENSG00000008118
N00027,ENSG00000070808
N00027,ENSG00000058404
N00027,ENSG00000145349
N00027,ENSG00000148660
N00027,ENSG00000152495
N00029,ENSG00000134853
N00029,ENSG00000124181
N00029,ENSG00000197943
N00029,ENSG00000198668
N00029,ENSG00000143933
N00029,ENSG00000160014
N00029,ENSG00000134072
N00029,ENSG00000183049
N00029,ENSG00000008118
N00029,ENSG00000070808
N00029,ENSG00000058404
N00029,ENSG00000145349
N00029,ENSG00000148660
N00029,ENSG00000152495
N00035,ENSG00000146648
N00035,ENSG00000121879
N00035,ENSG00000051382
N00035,ENSG00000171608
N00035,ENSG00000142208
N00035,ENSG00000105221
N00035,ENSG00000117020
N00035,ENSG00000198793
N00040,ENSG00000134853
N00040,ENSG00000121879
N00040,ENSG00000051382
N00040,ENSG00000171608
N00040,ENSG00000142208
N00040,ENSG00000105221
N00040,ENSG00000117020
N00040,ENSG00000198793
N00051,ENSG00000171862
N00051,ENSG00000142208
N00051,ENSG00000105221
N00051,ENSG00000117020
N00068,ENSG00000135679
N00068,ENSG00000141510
N00068,ENSG00000124762
N00068,ENSG00000110092
N00068,ENSG00000118971
N00068,ENSG00000112576
N00068,ENSG00000135446
N00068,ENSG00000105810
N00068,ENSG00000139687
N00068,ENSG00000101412
N00068,ENSG00000007968
N00068,ENSG00000112242
N00072,ENSG00000110092
N00072,ENSG00000118971
N00072,ENSG00000112576
N00072,ENSG00000135446
N00072,ENSG00000139687
N00072,ENSG00000101412
N00072,ENSG00000007968
N00072,ENSG00000112242
N00513,ENSG00000146648
N00513,ENSG00000177885
N00513,ENSG00000115904
N00513,ENSG00000100485
N00513,ENSG00000174775
N00513,ENSG00000133703
N00513,ENSG00000213281
N00513,ENSG00000078061
